City,Lat,Long,Max_temp,Humidity,Cloudiness,Wind_Speed,Country,Date
viedma,-40.81,-63.0,91.0,24,25,5.01,AR,1609279283
northam,51.03,-4.22,44.01,86,1,4.0,GB,1609279285
miranda,3.25,-76.23,84.2,51,40,6.93,CO,1609279286
serenje,-13.23,30.24,62.83,97,58,3.02,ZM,1609279287
gazanjyk,39.24,55.52,30.36,93,4,9.86,TM,1609279288
falconara marittima,43.62,13.4,51.8,71,40,6.93,IT,1609279289
kirakira,-10.45,161.92,82.54,75,57,9.06,SB,1609279290
sao filipe,14.9,-24.5,74.57,80,91,8.3,CV,1609279291
brcko,44.87,18.81,48.0,60,0,3.36,BA,1609279142
kumluca,36.37,30.29,59.27,76,90,4.47,TR,1609279294
auki,-8.77,160.7,82.81,74,96,4.5,SB,1609279295
dukat,62.55,155.55,-31.41,82,100,8.03,RU,1609279296
wewak,-3.55,143.63,76.5,91,100,2.8,PG,1609279221
yuzhnyy,53.25,83.69,3.2,59,0,11.18,RU,1609279298
sidi ali,36.1,0.42,49.87,78,5,14.07,DZ,1609279299
airai,-8.93,125.41,61.95,100,100,0.69,TL,1609279300
adrar,20.5,-10.07,71.33,35,99,5.97,MR,1609279301
arkhangelsk,64.54,40.54,1.4,84,40,6.71,RU,1609279303
djambala,-2.54,14.75,68.92,93,100,0.92,CG,1609279304
davila,18.47,120.58,78.8,83,90,16.11,PH,1609279305
baykit,61.67,96.37,-24.68,78,27,1.97,RU,1609279306
seymchan,62.88,152.43,-25.08,83,100,7.7,RU,1609279307
inirida,3.87,-67.92,75.97,91,100,1.92,CO,1609279308
ferrol,43.48,-8.24,50.0,65,20,9.17,ES,1609279309
nokaneng,-19.67,22.27,74.68,74,70,4.25,BW,1609279310
sambava,-14.27,50.17,76.78,87,100,8.12,MG,1609279311
alofi,-19.06,-169.92,82.4,83,89,9.17,NU,1609279312
kardailovo,51.54,53.9,-0.72,93,31,3.69,RU,1609279313
oriximina,-1.77,-55.87,77.25,90,100,1.45,BR,1609279315
uglegorsk,49.08,142.03,0.72,92,98,13.78,RU,1609279316
termiz,37.22,67.28,24.8,85,0,2.24,UZ,1609279317
ancud,-41.87,-73.82,57.99,58,75,18.34,CL,1609278791
anadyr,64.75,177.48,15.8,85,75,2.24,RU,1609279319
mount airy,36.5,-80.61,48.2,42,1,5.82,US,1609279258
iralaya,15.0,-83.23,77.0,85,99,14.03,HN,1609279321
belmonte,-15.86,-38.88,78.8,65,75,8.05,BR,1609279323
navahrudak,53.6,25.83,34.5,89,0,13.96,BY,1609279324
sechura,-5.56,-80.82,77.81,60,36,19.98,PE,1609278763
upernavik,72.79,-56.15,16.12,83,34,9.64,GL,1609279326
zeya,53.75,127.27,-16.4,80,25,6.64,RU,1609279327
pangnirtung,66.15,-65.71,12.2,78,90,19.46,CA,1609279328
rudnaya pristan,44.36,135.81,-4.67,79,0,12.17,RU,1609279329
olafsvik,64.89,-23.71,34.02,89,94,6.71,IS,1609279330
pacific grove,36.62,-121.92,60.8,38,1,5.82,US,1609279331
thompson,55.74,-97.86,10.4,85,90,12.75,CA,1609278756
manokwari,-0.87,134.08,79.86,76,100,3.71,ID,1609279277
chipinge,-20.19,32.62,65.97,90,100,3.83,ZW,1609279336
vao,-22.67,167.48,77.94,77,99,21.9,NC,1609279337
winslow,35.02,-110.7,42.8,35,90,9.17,US,1609279338
tarauaca,-8.16,-70.77,82.35,74,43,3.2,BR,1609279339
dafeng,23.45,108.59,46.09,56,100,14.12,CN,1609279340
georgetown,5.41,100.34,78.8,88,20,3.36,MY,1609279253
korla,41.76,86.15,15.84,89,1,3.62,CN,1609279343
barcelos,41.54,-8.62,43.0,93,20,3.36,PT,1609279088
barentu,15.11,37.59,60.48,64,0,2.51,ER,1609279345
berezovyy,51.67,135.7,-20.43,79,98,2.06,RU,1609279347
